lat,lon,altitude,hdop,age,date,time,speed,rssi
500580192,201131536,18820,9,113,525,01/01/2018,11:57:37,1,-89
500580128,201131552,18820,9,113,127,01/01/2018,11:57:40,9,-89
500580128,201131552,18820,9,113,1712,01/01/2018,11:57:40,9,-89
500580128,201131568,18870,9,113,303,01/01/2018,11:57:43,1,-89
500580128,201131584,18870,9,113,7,01/01/2018,11:57:45,1,-90
500580128,201131584,18870,9,113,1592,01/01/2018,11:57:45,1,-87
500580128,201131616,18830,9,113,68,01/01/2018,11:57:48,11,-89
500580128,201131616,18830,9,113,1653,01/01/2018,11:57:48,11,-88
500580128,201131616,18860,9,113,243,01/01/2018,11:57:51,16,-88
500580128,201131616,18860,9,113,1833,01/01/2018,11:57:51,16,-88
500580128,201131616,18940,9,113,422,01/01/2018,11:57:54,5,-88
500580192,201131616,18970,9,113,6,01/01/2018,11:57:56,7,-88
500580192,201131616,18970,9,113,1589,01/01/2018,11:57:56,7,-89
500580192,201131584,18980,9,113,182,01/01/2018,11:57:59,1,-89
500580192,201131584,18980,9,113,1770,01/01/2018,11:57:59,1,-88
500580128,201131584,18950,9,113,361,01/01/2018,11:58:02,1,-89
500580192,201131568,18950,9,113,63,01/01/2018,11:58:04,0,-90
500580192,201131568,18940,9,113,522,01/01/2018,11:58:04,0,-89
500580192,201131552,18920,9,113,124,01/01/2018,11:58:07,1,-89
500580192,201131552,18920,9,113,1712,01/01/2018,11:58:07,1,-89
500580192,201131536,18880,9,113,299,01/01/2018,11:58:10,7,-89
500580192,201131536,18880,9,113,1884,01/01/2018,11:58:10,7,-88
500580192,201131520,18880,9,113,524,01/01/2018,11:58:12,0,-91
500580192,201131520,18910,9,113,64,01/01/2018,11:58:15,1,-91
500580192,201131520,18910,9,113,1651,01/01/2018,11:58:15,1,-89
500580192,201131520,18930,9,113,240,01/01/2018,11:58:18,12,-91
500580192,201131520,18930,9,113,1827,01/01/2018,11:58:18,12,-92
500580192,201131520,18970,9,113,419,01/01/2018,11:58:21,7,-89
500580224,201131520,19020,9,113,7,01/01/2018,11:58:23,9,-88
500580224,201131520,19020,9,113,1592,01/01/2018,11:58:23,9,-88
500580224,201131504,19070,9,113,180,01/01/2018,11:58:26,11,-89
500580224,201131504,19070,9,113,1769,01/01/2018,11:58:26,11,-88
500580256,201131472,19140,9,113,361,01/01/2018,11:58:29,11,-88
500580256,201131472,19140,9,113,66,01/01/2018,11:58:31,1,-88
500580256,201131472,19150,9,113,524,01/01/2018,11:58:31,1,-88
500580256,201131472,19150,9,113,119,01/01/2018,11:58:34,5,-90
500580256,201131472,19150,9,113,1706,01/01/2018,11:58:34,5,-89
500580256,201131472,19160,9,113,297,01/01/2018,11:58:37,1,-89
500580256,201131472,19160,9,113,1884,01/01/2018,11:58:37,1,-89
500580256,201131472,19160,9,113,526,01/01/2018,11:58:39,7,-89
500580256,201131472,19150,9,113,59,01/01/2018,11:58:39,1,-90
500580256,201131472,19150,9,113,1646,01/01/2018,11:58:39,1,-89
500580256,201131472,19150,9,113,236,01/01/2018,11:58:42,3,-89
500580256,201131472,19150,9,113,1825,01/01/2018,11:58:42,3,-89
500580256,201131456,19100,9,113,422,01/01/2018,11:58:45,3,-89
500580256,201131456,19050,9,113,0,01/01/2018,11:58:47,3,-90
500580256,201131456,19050,9,113,1585,01/01/2018,11:58:47,3,-90
500580256,201131440,19000,9,113,181,01/01/2018,11:58:50,1,-89
500580256,201131440,19000,9,113,1768,01/01/2018,11:58:50,1,-89
500580224,201131424,18990,9,113,354,01/01/2018,11:58:53,1,-90
500580224,201131424,18990,9,113,57,01/01/2018,11:58:55,1,-90
500580224,201131424,18970,9,113,523,01/01/2018,11:58:55,1,-91
500580224,201131408,18930,9,113,119,01/01/2018,11:58:58,5,-91
500580224,201131408,18930,9,113,1706,01/01/2018,11:58:58,5,-88
500580192,201131440,18930,9,113,291,01/01/2018,11:59:01,5,-88
500580192,201131440,18930,9,113,1878,01/01/2018,11:59:01,5,-88
500580192,201131456,18930,9,113,525,01/01/2018,11:59:03,1,-88
500580128,201131472,18960,9,113,62,01/01/2018,11:59:06,7,-88
500580128,201131472,18960,9,113,1649,01/01/2018,11:59:06,7,-87
500580128,201131504,19020,9,113,231,01/01/2018,11:59:09,1,-89
500580128,201131504,19020,9,113,1818,01/01/2018,11:59:09,1,-90
500580096,201131504,19060,9,113,408,01/01/2018,11:59:12,1,-90
500580096,201131504,19050,9,113,0,01/01/2018,11:59:14,1,-90
500580096,201131504,19050,9,113,1585,01/01/2018,11:59:14,1,-90
500580096,201131504,19050,9,113,174,01/01/2018,11:59:17,1,-90
500580096,201131504,19050,9,113,1761,01/01/2018,11:59:17,1,-90
500580128,201131504,19040,9,113,351,01/01/2018,11:59:20,1,-89
500580128,201131504,19040,9,113,51,01/01/2018,11:59:22,1,-90
500580128,201131504,19060,9,113,524,01/01/2018,11:59:22,1,-88
500580128,201131504,19120,9,113,104,01/01/2018,11:59:25,9,-88
500580128,201131504,19120,9,113,1691,01/01/2018,11:59:25,9,-87
500580128,201131504,19200,9,113,293,01/01/2018,11:59:28,14,-87
500580128,201131504,19200,9,113,1882,01/01/2018,11:59:28,14,-88
500580192,201131472,19200,9,113,524,01/01/2018,11:59:30,3,-87
500580192,201131456,19280,9,113,51,01/01/2018,11:59:33,5,-88
500580192,201131456,19280,9,113,1639,01/01/2018,11:59:33,5,-89
500580224,201131440,19310,9,113,234,01/01/2018,11:59:36,18,-88
500580224,201131440,19310,9,113,1823,01/01/2018,11:59:36,18,-89
500580224,201131424,19300,9,113,407,01/01/2018,11:59:39,18,-87
500580224,201131408,19300,9,113,108,01/01/2018,11:59:41,11,-90
500580224,201131408,19270,9,113,525,01/01/2018,11:59:41,11,-86
500580256,201131408,19230,9,113,180,01/01/2018,11:59:44,9,-87
500580256,201131408,19230,9,113,1765,01/01/2018,11:59:44,9,-88
500580256,201131376,19200,9,113,348,01/01/2018,11:59:47,9,-88
500580256,201131376,19200,9,113,48,01/01/2018,11:59:49,5,-88
500580256,201131376,19200,9,113,1635,01/01/2018,11:59:49,5,-88
500580256,201131376,19080,9,113,113,01/01/2018,11:59:52,1,-87
500580256,201131376,19080,9,113,1698,01/01/2018,11:59:52,1,-86
500580224,201131408,19020,9,113,286,01/01/2018,11:59:55,0,-88
500580224,201131408,19020,9,113,1874,01/01/2018,11:59:55,0,-86
500580192,201131424,19020,9,113,526,01/01/2018,11:59:57,5,-88
500580128,201131424,18930,9,113,41,01/01/2018,12:00:00,3,-88
500580128,201131424,18930,9,113,1626,01/01/2018,12:00:00,3,-88
500580096,201131440,18900,9,113,229,01/01/2018,12:00:03,0,-86
500580096,201131440,18900,9,113,1817,01/01/2018,12:00:03,0,-89
500580096,201131440,18910,9,113,404,01/01/2018,12:00:06,0,-89
500580096,201131440,18910,9,113,106,01/01/2018,12:00:08,1,-87
500580096,201131440,18910,9,113,524,01/01/2018,12:00:08,1,-88
500580064,201131440,18900,9,113,169,01/01/2018,12:00:11,5,-87
500580064,201131440,18900,9,113,1757,01/01/2018,12:00:11,5,-88
500580096,201131424,18920,9,113,346,01/01/2018,12:00:14,5,-89
500580096,201131424,18920,9,113,49,01/01/2018,12:00:16,0,-89
500580096,201131424,18970,9,113,522,01/01/2018,12:00:16,0,-89
500580096,201131408,19000,9,113,108,01/01/2018,12:00:19,1,-90
500580096,201131408,19000,9,113,1696,01/01/2018,12:00:19,1,-89
500580128,201131376,19020,9,113,287,01/01/2018,12:00:22,12,-89
500580128,201131376,19020,9,113,1874,01/01/2018,12:00:22,12,-89
500580096,201131408,19020,9,113,524,01/01/2018,12:00:24,1,-87
500580096,201131408,18930,9,113,48,01/01/2018,12:00:27,1,-87
500580096,201131408,18930,9,113,1635,01/01/2018,12:00:27,1,-88
500580064,201131440,18810,9,113,229,01/01/2018,12:00:30,1,-88
500580064,201131440,18810,9,113,1814,01/01/2018,12:00:30,1,-88
500580064,201131440,18700,9,113,401,01/01/2018,12:00:33,1,-88
500580032,201131456,18700,9,113,103,01/01/2018,12:00:35,0,-89
500580032,201131456,18610,9,113,526,01/01/2018,12:00:35,0,-88
500580032,201131456,18510,9,113,166,01/01/2018,12:00:38,1,-88
500580032,201131456,18510,9,113,1753,01/01/2018,12:00:38,1,-89
500580032,201131456,18470,9,113,345,01/01/2018,12:00:41,1,-89
500580032,201131456,18470,9,113,41,01/01/2018,12:00:43,0,-88
500580032,201131456,18470,9,113,1628,01/01/2018,12:00:43,0,-89
500580032,201131456,18450,9,113,106,01/01/2018,12:00:46,5,-87
500580032,201131456,18450,9,113,1693,01/01/2018,12:00:46,5,-87
500580032,201131456,18480,9,113,283,01/01/2018,12:00:49,7,-85
500580032,201131456,18480,9,113,1870,01/01/2018,12:00:49,7,-85
500580064,201131440,18480,9,113,526,01/01/2018,12:00:51,11,-88
500580064,201131456,18560,9,128,51,01/01/2018,12:00:54,12,-89
500580064,201131456,18560,9,128,1638,01/01/2018,12:00:54,12,-88
500580032,201131472,18590,9,113,232,01/01/2018,12:00:57,9,-89
500580032,201131472,18590,9,113,1819,01/01/2018,12:00:57,9,-89
500580032,201131456,18600,9,113,403,01/01/2018,12:01:00,9,-88
500580032,201131456,18600,9,113,106,01/01/2018,12:01:02,7,-89
500580032,201131456,18610,9,113,525,01/01/2018,12:01:02,7,-89
500580032,201131472,18630,9,113,164,01/01/2018,12:01:05,3,-89
500580032,201131472,18630,9,113,1751,01/01/2018,12:01:05,3,-89
500580032,201131472,18640,9,113,342,01/01/2018,12:01:08,3,-89
500580032,201131504,18640,9,113,47,01/01/2018,12:01:10,0,-89
500580032,201131504,18640,9,113,1635,01/01/2018,12:01:10,0,-82
500578624,201139168,34900,8,113,1647,01/01/2018,12:01:21,2803,-100
500579104,201141504,34420,8,113,1827,01/01/2018,12:01:24,2448,-107
500578720,201145584,32740,9,113,6,01/01/2018,12:01:29,2828,-102
500579040,201148752,31979,9,113,184,01/01/2018,12:01:32,2724,-107
500579040,201148752,31979,9,113,1775,01/01/2018,12:01:32,2724,-97
500579712,201151136,31150,9,113,371,01/01/2018,12:01:35,2724,-98
500579904,201152224,31150,9,113,82,01/01/2018,12:01:37,1220,-101
500579904,201152224,30650,9,113,524,01/01/2018,12:01:37,1220,-107
500579680,201154208,30040,9,113,142,01/01/2018,12:01:40,2107,-110
500579680,201154208,30040,9,113,1733,01/01/2018,12:01:40,2107,-104
500579520,201156960,29440,9,113,321,01/01/2018,12:01:43,2516,-101
500579808,201158768,29440,9,113,36,01/01/2018,12:01:45,2305,-107
500579808,201158768,29440,9,113,1626,01/01/2018,12:01:45,2305,-108
500580384,201160368,28200,9,113,1685,01/01/2018,12:01:48,1053,-107
500580192,201161936,27550,9,113,276,01/01/2018,12:01:51,1701,-107
500580192,201161936,27550,9,113,1868,01/01/2018,12:01:51,1701,-100
500580064,201164512,26840,9,113,461,01/01/2018,12:01:54,2246,-102
500580256,201166368,26300,9,113,53,01/01/2018,12:01:56,2437,-106
500580256,201166368,26300,9,113,1643,01/01/2018,12:01:56,2437,-101
500580800,201168288,25500,9,113,234,01/01/2018,12:01:59,1122,-103
500580800,201168288,25500,9,113,1823,01/01/2018,12:01:59,1122,-103
500580800,201169488,24850,9,113,413,01/01/2018,12:02:02,1122,-104
500580640,201170672,24390,9,127,1595,01/01/2018,12:02:04,2013,-103
500580896,201172480,23520,9,113,184,01/01/2018,12:02:07,1166,-105
500580896,201173440,22710,9,113,369,01/01/2018,12:02:10,1166,-102
500581408,201177504,19590,9,112,55,01/01/2018,12:08:03,1,-109
500581408,201177520,19680,9,112,412,01/01/2018,12:08:09,1,-106
500581408,201177520,19680,9,112,115,01/01/2018,12:08:11,3,-109
500581408,201177520,19610,9,112,1757,01/01/2018,12:08:14,1,-109
500581408,201177552,19320,9,112,525,01/01/2018,12:08:27,3,-106
500581408,201177584,18920,9,112,1766,01/01/2018,12:08:41,14,-103
500581440,201177552,18920,9,112,356,01/01/2018,12:08:44,14,-102
500581440,201177536,18920,9,112,65,01/01/2018,12:08:46,16,-103
500581440,201177536,18920,9,112,522,01/01/2018,12:08:46,16,-105
500581440,201177520,18900,9,112,123,01/01/2018,12:08:49,37,-105
500581440,201177520,18900,9,112,1712,01/01/2018,12:08:49,37,-106
500581440,201177504,18870,9,112,303,01/01/2018,12:08:52,14,-104
500581440,201177504,18870,9,112,1587,01/01/2018,12:08:54,12,-102
500581440,201177488,18840,9,112,68,01/01/2018,12:08:57,7,-103
500581440,201177488,18840,9,112,1655,01/01/2018,12:08:57,7,-100
500581440,201177440,18850,9,112,244,01/01/2018,12:09:00,18,-106
500581440,201177440,18850,9,112,1833,01/01/2018,12:09:00,18,-97
500581440,201177424,18880,9,112,422,01/01/2018,12:09:03,5,-101
500581440,201177424,18900,9,112,12,01/01/2018,12:09:05,1,-107
500581440,201177424,18900,9,112,1599,01/01/2018,12:09:05,1,-99
500581440,201177424,18960,9,112,188,01/01/2018,12:09:08,5,-99
500581440,201177424,19000,9,112,74,01/01/2018,12:09:13,7,-103
500581440,201177424,18990,9,112,1715,01/01/2018,12:09:16,12,-100
500581408,201177408,18910,9,112,303,01/01/2018,12:09:19,3,-103
